CO_IES,CO_CURSO,NO_CURSO,CO_CINE_ROTULO,TP_MODALIDADE_ENSINO,IN_AJUDA_DEFICIENTE,IN_QTD_RECURSOS,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL
1,100920,ENGENHARIA DE ALIMENTOS,0721E01,Presencial,1,3.0,89,7
1,100928,ENFERMAGEM,0913E01,Presencial,0,0.0,105,15
1,101054,LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA INGLESA,0115L04,Presencial,1,2.0,81,19
1,101184,FÍSICA,0114F02,Presencial,1,1.0,50,8
1,105652,PEDAGOGIA,0113P01,A distância,1,2.0,180,0
1,106050,QUÍMICA,0114Q01,Presencial,1,4.0,79,8
1,106052,EDUCAÇÃO FÍSICA,0114E03,Presencial,1,2.0,163,27
1,112770,ENGENHARIA SANITARIA E AMBIENTAL,0712E02,Presencial,0,0.0,290,31
1,112846,CIÊNCIA DA COMPUTAÇÃO,0614C01,Presencial,0,0.0,105,6
1,114386,CIÊNCIAS NATURAIS E MATEMÁTICA,0114C02,A distância,1,4.0,206,0
1,116550,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,0721A01,Presencial,0,0.0,154,12
1,116560,GEOGRAFIA,0312G01,Presencial,1,1.0,129,11
1,116648,BIOMEDICINA,0914B01,Presencial,1,3.0,144,24
1,116662,AGRONOMIA,0811A04,Presencial,0,0.0,180,37
1,116690,GEOGRAFIA,0114G01,Presencial,1,2.0,129,9
1,116708,JORNALISMO,0321J01,Presencial,1,2.0,130,14
1,116720,FARMÁCIA,0916F01,Presencial,1,1.0,256,19
1,116736,ENGENHARIA AGRÍCOLA E AMBIENTAL,0811E01,Presencial,1,2.0,239,30
1,117004,PSICOLOGIA,0313P01,Presencial,1,3.0,404,54
1,118002,SISTEMAS DE INFORMAÇÃO,0615S02,Presencial,0,0.0,163,19
1,123007,ESTATÍSTICA,0542E01,Presencial,1,1.0,155,6
1,123011,SAÚDE COLETIVA,0918S01,Presencial,1,1.0,214,25
1,123013,FÍSICA,0533F01,Presencial,0,0.0,151,8
1,123052,CIÊNCIAS ECONÔMICAS,0311E01,Presencial,1,1.0,242,25
1,123055,ENGENHARIA CIVIL,0732E01,Presencial,1,1.0,265,55
1,123427,DIREITO,0421D01,Presencial,1,4.0,289,55
1,123620,ZOOTECNIA,0811Z01,Presencial,1,1.0,345,40
1,1103426,GEOGRAFIA,0114G01,Presencial,1,1.0,146,27
1,1103701,CIÊNCIAS SOCIAIS,0114C03,Presencial,1,1.0,88,11
1,1103708,FILOSOFIA,0114F01,Presencial,0,0.0,120,9
1,1103709,FILOSOFIA,0223F01,Presencial,0,0.0,63,7
1,1103710,HISTÓRIA,0114H01,Presencial,0,0.0,289,36
1,1103711,QUÍMICA,0114Q01,Presencial,0,0.0,181,12
1,1103712,QUÍMICA,0531Q01,Presencial,0,0.0,186,15
1,1103742,CIÊNCIAS SOCIAIS,0312C02,Presencial,0,0.0,70,4
1,1113617,ADMINISTRAÇÃO PÚBLICA,0413A02,A distância,1,4.0,208,0
1,1127343,ADMINISTRAÇÃO,0413A01,Presencial,1,1.0,345,36
1,1128077,SISTEMAS DE INFORMAÇÃO,0615S02,Presencial,0,0.0,244,14
1,1168551,EDUCAÇÃO FÍSICA,0915E01,Presencial,0,0.0,203,24
1,1188880,CIÊNCIAS BIOLÓGICAS,0511B01,Presencial,0,0.0,109,14
1,1202779,MÚSICA - CANTO,0215M01,Presencial,0,0.0,10,2
1,1202829,MÚSICA - CLARINETE,0215M01,Presencial,0,0.0,3,0
1,1202855,MÚSICA - COMPOSIÇÃO,0215M01,Presencial,0,0.0,11,0
1,1202871,LETRAS - PORTUGUÊS E INGLÊS,0115L15,A distância,1,4.0,0,0
1,1203359,MÚSICA - VIOLINO,0215M01,Presencial,0,0.0,6,0
1,1203399,MÚSICA - VIOLÃO,0215M01,Presencial,0,0.0,6,0
1,1204146,MÚSICA - REGÊNCIA,0215M01,Presencial,0,0.0,8,1
1,1205603,LETRAS - LIBRAS,0115L07,Presencial,1,3.0,100,4
1,1261971,MEDICINA,0912M01,Presencial,0,0.0,190,26
1,1261972,MEDICINA,0912M01,Presencial,1,5.0,301,43
1,1270010,ENGENHARIA QUÍMICA,0711E05,Presencial,1,1.0,224,6
1,1270017,ENGENHARIA DE TRANSPORTES,0732E03,Presencial,1,2.0,168,12
1,1270037,ENGENHARIA DE MINAS,0724E01,Presencial,0,0.0,133,3
1,1270057,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,0714E05,Presencial,1,2.0,196,7
1,1270062,ENGENHARIA DE COMPUTAÇÃO,0714E04,Presencial,0,0.0,200,4
1,1285517,CIÊNCIAS BIOLÓGICAS,0511B01,Presencial,0,0.0,155,11
1,1357965,MATEMÁTICA,0114M01,A distância,1,4.0,101,0
1,1420159,CINEMA E AUDIOVISUAL,0211C01,Presencial,0,0.0,49,0
1,1425400,TECNOLOGIA EDUCACIONAL,0114C05,A distância,1,4.0,109,0
2,116,GEOLOGIA,0532G02,Presencial,1,12.0,271,29
2,119,ESTATÍSTICA,0542E01,Presencial,1,12.0,296,23
2,122,CIÊNCIAS ECONÔMICAS,0311E01,Presencial,1,12.0,470,84
2,126,SERVIÇO SOCIAL,0923S01,Presencial,1,12.0,326,51
2,127,CIÊNCIA DA COMPUTAÇÃO,0614C01,Presencial,1,12.0,360,25
2,128,RELAÇÕES INTERNACIONAIS,0312R01,Presencial,1,12.0,486,93
2,132,ARQUITETURA E URBANISMO,0731A02,Presencial,1,12.0,532,80
2,133,MÚSICA,0114M02,Presencial,1,12.0,116,6
2,135,AGRONOMIA,0811A04,Presencial,1,12.0,697,98
2,136,ENGENHARIA CIVIL,0732E01,Presencial,1,12.0,414,63
2,137,ENGENHARIA ELÉTRICA,0713E05,Presencial,1,12.0,431,78
2,138,ENGENHARIA MECÂNICA,0715E02,Presencial,1,12.0,419,60
2,139,ENGENHARIA FLORESTAL,0821E01,Presencial,1,12.0,424,38
2,140,MEDICINA,0912M01,Presencial,1,12.0,568,78
2,141,ODONTOLOGIA,0911O01,Presencial,1,12.0,289,48
2,142,EDUCAÇÃO FÍSICA,0114E03,Presencial,1,12.0,372,46
2,143,ENFERMAGEM,0913E01,Presencial,1,12.0,400,76
2,144,NUTRIÇÃO,0915N01,Presencial,1,12.0,312,54
2,145,ADMINISTRAÇÃO,0413A01,Presencial,1,12.0,1095,150
2,146,BIBLIOTECONOMIA,0322B01,Presencial,1,12.0,335,41
2,148,DIREITO,0421D01,Presencial,1,12.0,686,108
2,149,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,1,12.0,589,70
2,150,PEDAGOGIA,0113P01,Presencial,1,12.0,670,99
2,151,ARTES PLÁSTICAS,0114A02,Presencial,1,12.0,124,15
2,156,CIÊNCIA POLÍTICA,0312C01,Presencial,1,12.0,444,83
2,157,ARQUIVOLOGIA,0322A01,Presencial,1,12.0,367,64
2,158,FÍSICA,0114F02,Presencial,1,12.0,191,18
2,159,QUÍMICA,0114Q01,Presencial,1,12.0,218,19
2,160,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,1,12.0,389,33
2,161,MATEMÁTICA,0114M01,Presencial,1,12.0,166,8
2,162,LETRAS - PORTUGUÊS,0115L13,Presencial,1,12.0,391,51
2,163,PEDAGOGIA,0113P01,Presencial,1,12.0,354,55
2,164,EDUCAÇÃO ARTÍSTICA,0114A01,Presencial,1,12.0,0,0
2,165,DIREITO,0421D01,Presencial,1,12.0,675,102
2,166,LETRAS - ESPANHOL,0115L02,Presencial,1,12.0,237,48
2,167,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,1,12.0,553,87
2,18030,CIÊNCIAS FARMACÊUTICAS,0916F01,Presencial,1,12.0,373,46
2,18031,MEDICINA VETERINÁRIA,0841M01,Presencial,1,12.0,475,66
2,18032,COMPUTAÇÃO,0114C05,Presencial,1,12.0,276,9
2,18033,ENGENHARIA DE REDES DE COMUNICAÇÃO,0714E07,Presencial,1,12.0,310,38
2,20551,LETRAS - JAPONÊS,0115L06,Presencial,1,12.0,187,19
2,22122,MATEMÁTICA,0541M01,Presencial,1,12.0,35,9
2,22844,PSICOLOGIA,0313P01,Presencial,1,12.0,92,86
2,22851,ARTES CÊNICAS,0215A01,Presencial,1,12.0,96,16
2,26030,FÍSICA,0533F01,Presencial,1,12.0,184,19
2,26033,PSICOLOGIA,0313P01,Presencial,1,12.0,501,118
2,26035,MÚSICA,0215M01,Presencial,1,12.0,45,12
2,26039,LETRAS - FRANCÊS,0231L04,Presencial,1,12.0,50,4
2,26040,MÚSICA - COMPOSIÇÃO,0215M01,Presencial,1,12.0,28,4
2,26978,DESENHO INDUSTRIAL - PROJETO DO PRODUTO,0212D04,Presencial,1,12.0,47,18
2,27858,FILOSOFIA,0223F01,Presencial,1,12.0,70,23
2,29692,CIÊNCIAS SOCIAIS,0312C02,Presencial,1,12.0,76,14
2,29693,LETRAS - INGLÊS,0115L04,Presencial,1,12.0,147,35
2,29694,LETRAS - INGLÊS,0231L05,Presencial,1,12.0,54,12
2,31376,LETRAS - LÍNGUA PORTUGUESA,0231L12,Presencial,1,12.0,105,31
2,31378,LETRAS - FRANCÊS,0115L03,Presencial,1,12.0,89,16
2,31381,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,0414P01,Presencial,1,12.0,221,43
2,31384,LETRAS - TRADUÇÃO INGLÊS,0231L22,Presencial,1,12.0,217,28
2,33204,CIÊNCIAS SOCIAIS,0312C02,Presencial,1,12.0,197,37
2,33205,HISTÓRIA,0222H01,Presencial,1,12.0,76,45
2,33206,LETRAS - TRADUÇÃO FRANCÊS,0231L22,Presencial,1,12.0,105,13
2,33209,MÚSICA - REGÊNCIA,0215M01,Presencial,1,12.0,6,1
2,34642,JORNALISMO,0321J01,Presencial,1,12.0,266,41
2,34644,LETRAS - LÍNGUA PORTUGUESA,0115L13,Presencial,1,12.0,211,50
2,34983,CIÊNCIAS SOCIAIS,0312C02,Presencial,1,12.0,89,19
2,34992,DESENHO INDUSTRIAL - PROGRAMAÇÃO VISUAL,0212D01,Presencial,1,12.0,145,28
2,44362,FILOSOFIA,0114F01,Presencial,1,12.0,169,14
2,44364,FÍSICA COM HABILITAÇÃO EM FÍSICA COMPUTACIONAL,0533F01,Presencial,1,12.0,0,0
2,44365,FÍSICA,0114F02,Presencial,1,12.0,2,2
2,44366,GEOGRAFIA,0114G01,Presencial,1,12.0,143,24
2,44369,HISTÓRIA,0114H01,Presencial,1,12.0,243,29
2,44372,MATEMÁTICA,0114M01,Presencial,1,12.0,132,22
2,44376,PSICOLOGIA,0114P01,Presencial,1,12.0,48,37
2,44377,LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA,0115L13,Presencial,1,12.0,208,25
2,44382,CIÊNCIAS BIOLÓGICAS,0511B01,Presencial,1,12.0,403,90
2,44418,CIÊNCIAS SOCIAIS,0114C03,Presencial,1,12.0,259,63
2,52159,ARTES PLÁSTICAS,0114A02,Presencial,1,12.0,110,12
2,70638,COMUNICAÇÃO SOCIAL - AUDIOVISUAL,0321C01,Presencial,1,12.0,177,36
2,85124,ENGENHARIA MECATRÔNICA,0714E09,Presencial,1,12.0,383,37
2,92262,GESTÃO DO AGRONEGÓCIO,0413G09,Presencial,1,12.0,208,29
2,92267,CIÊNCIAS NATURAIS,0114C02,Presencial,1,12.0,171,18
2,101550,CIÊNCIAS BIOLÓGICAS,0114B01,A distância,1,12.0,8,8
2,112158,ARTES VISUAIS,0114A02,A distância,1,12.0,2,2
2,112160,EDUCAÇÃO FÍSICA,0114E03,A distância,1,12.0,6,6
2,112162,LETRAS,0115L13,A distância,1,12.0,21,20
2,112164,MÚSICA,0114M02,A distância,1,12.0,7,6
2,112166,TEATRO,0114T01,A distância,1,9.0,0,0
2,112170,PEDAGOGIA,0113P01,A distância,1,12.0,47,38
2,112176,EDUCAÇÃO DO CAMPO,0113E01,Presencial,1,12.0,220,20
2,112790,CIÊNCIAS NATURAIS,0114C02,Presencial,1,12.0,172,21
2,112792,GESTÃO AMBIENTAL,0712G01,Presencial,1,12.0,223,40
2,112794,FARMÁCIA,0916F01,Presencial,1,12.0,473,56
2,112796,FISIOTERAPIA,0915F01,Presencial,1,12.0,525,73
2,112804,GESTÃO DE SAÚDE,0918S01,Presencial,1,12.0,320,27
2,112816,TERAPIA OCUPACIONAL,0915T01,Presencial,1,12.0,375,44
2,112818,ENFERMAGEM,0913E01,Presencial,1,12.0,510,65
2,112872,ENGENHARIA DE ENERGIA,0713E04,Presencial,1,12.0,239,29
2,112887,ENGENHARIA ELETRÔNICA,0714E08,Presencial,1,12.0,374,51
2,112889,ENGENHARIA AUTOMOTIVA,0716E03,Presencial,1,12.0,186,22
2,112891,ENGENHARIA DE SOFTWARE,0613E01,Presencial,1,12.0,613,45
2,122198,ARTES CÊNICAS,0114T01,Presencial,1,12.0,69,12
2,122200,ARTES CÊNICAS,0114T01,Presencial,1,12.0,91,23
2,122202,CIÊNCIAS AMBIENTAIS,0521C01,Presencial,1,12.0,304,40
2,122204,ENGENHARIA DE COMPUTAÇÃO,0616E01,Presencial,1,12.0,355,54
2,122206,ENGENHARIA DE PRODUÇÃO,0725E02,Presencial,1,12.0,560,84
2,122208,GEOFISICA,0532G01,Presencial,1,12.0,138,6
2,122210,GEOGRAFIA,0114G01,A distância,1,12.0,82,2
2,122212,GESTÃO DE POLÍTICAS PÚBLICAS,0413G12,Presencial,1,12.0,394,54
2,122214,HISTÓRIA,0114H01,Presencial,1,12.0,336,40
2,122218,MUSEOLOGIA,0322M01,Presencial,1,12.0,211,22
2,122220,MÚSICA,0114M02,Presencial,1,12.0,73,15
2,300118,QUÍMICA,0531Q01,Presencial,1,12.0,203,29
2,300129,GEOGRAFIA,0312G01,Presencial,1,12.0,111,30
2,300151,ARTES PLÁSTICAS,0213A02,Presencial,1,12.0,114,24
2,1138293,ARQUITETURA E URBANISMO,0731A02,Presencial,1,12.0,380,44
2,1138344,SERVIÇO SOCIAL,0923S01,Presencial,1,12.0,323,44
2,1138345,TURISMO,1015T01,Presencial,1,12.0,305,22
2,1138346,FILOSOFIA,0114F01,Presencial,1,12.0,243,16
2,1140035,ENGENHARIA AMBIENTAL,0712E01,Presencial,1,12.0,356,41
2,1140048,GESTÃO DE AGRONEGÓCIOS,0413G09,Presencial,1,12.0,244,17
2,1140050,LETRAS LÍNGUA ESTRANGEIRA APLICADA,0231L11,Presencial,1,12.0,242,34
2,1140062,COMUNICAÇÃO ORGANIZACIONAL,0414R01,Presencial,1,12.0,399,67
2,1140082,QUÍMICA TECNOLÓGICA,0531Q02,Presencial,1,12.0,193,22
2,1140088,FARMÁCIA,0916F01,Presencial,1,12.0,232,17
2,1140091,GESTÃO EM SAÚDE COLETIVA,0918S01,Presencial,1,12.0,260,35
2,1173351,BIOTECNOLOGIA,0512B02,Presencial,1,12.0,294,47
2,1192413,EDUCAÇÃO FÍSICA,0915E01,Presencial,1,12.0,441,65
2,1192414,ENGENHARIA QUÍMICA,0711E05,Presencial,1,12.0,355,61
2,1192415,"TEORIA, CRÍTICA E HISTÓRIA DA ARTE",0213H01,Presencial,1,12.0,247,21
2,1192419,FONOAUDIOLOGIA,0915F02,Presencial,1,12.0,316,59
2,1269978,ENGENHARIA AEROESPACIAL,0716E01,Presencial,1,12.0,338,39
2,1314245,LETRAS - TRADUÇÃO ESPANHOL,0231L22,Presencial,1,12.0,176,19
2,1349598,LETRAS - LÍNGUA DE SINAIS BRASILEIRA/PORTUGUÊS COMO SEGUNDA LÍNGUA,0115L18,Presencial,1,12.0,111,16
2,1434981,FÍSICA,0114F02,A distância,1,12.0,1,0
2,5000587,ABI - ENGENHARIA,0011A07,Presencial,1,12.0,508,0
2,5001034,ABI - ARTES PLÁSTICAS,0011A02,Presencial,1,12.0,50,0
2,5001035,ABI - ARTES CÊNICAS,0011A02,Presencial,1,12.0,46,0
2,5001037,ABI - CIÊNCIAS SOCIAIS,0011A03,Presencial,1,12.0,153,0
2,5001038,ABI - COMUNICAÇÃO SOCIAL,0011A03,Presencial,1,12.0,85,0
2,5001039,ABI - DESIGN,0011A02,Presencial,1,12.0,40,0
2,5001040,ABI - FILOSOFIA,0011A02,Presencial,1,12.0,63,0
2,5001042,ABI - GEOGRAFIA,0011A03,Presencial,1,12.0,65,0
2,5001043,ABI - HISTÓRIA,0011A02,Presencial,1,12.0,67,0
2,5001044,ABI - MÚSICA,0011A02,Presencial,1,12.0,9,0
2,5001045,ABI - PSICOLOGIA,0011A03,Presencial,1,12.0,91,0
2,5001148,ABI - MATEMÁTICA,0011A05,Presencial,1,12.0,61,0
2,5001149,ABI - LETRAS FRANCÊS,0011A02,Presencial,1,12.0,42,0
2,5001150,ABI - LETRAS INGLÊS,0011A02,Presencial,1,12.0,42,0
2,5001151,ABI - LETRAS - LÍNGUA PORTUGUESA,0011A02,Presencial,1,12.0,56,0
3,294,ENGENHARIA CIVIL,0732E01,Presencial,1,3.0,515,33
3,295,ENGENHARIA QUÍMICA,0711E05,Presencial,1,2.0,237,18
3,297,MATEMÁTICA,0114M01,Presencial,1,2.0,423,35
3,299,QUÍMICA INDUSTRIAL,0531Q02,Presencial,1,2.0,155,5
3,302,ENFERMAGEM,0913E01,Presencial,1,12.0,327,34
3,303,MEDICINA,0912M01,Presencial,1,6.0,637,135
3,304,ODONTOLOGIA,0911O01,Presencial,0,0.0,193,32
3,306,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,1,2.0,493,47
3,308,DIREITO,0421D01,Presencial,1,2.0,562,62
3,310,GEOGRAFIA,0312G01,Presencial,1,2.0,64,2
3,311,HISTÓRIA,0114H01,Presencial,1,2.0,464,46
3,315,PEDAGOGIA,0113P01,Presencial,1,2.0,459,48
3,317,CIÊNCIA DA COMPUTAÇÃO,0614C01,Presencial,1,4.0,426,21
3,318,CIÊNCIAS SOCIAIS,0312C02,Presencial,0,0.0,176,5
3,319,ENGENHARIA AGRONÔMICA,0811A04,Presencial,1,2.0,263,37
3,321,MATEMÁTICA,0541M01,Presencial,1,2.0,54,1
3,322,QUÍMICA,0531Q01,Presencial,1,2.0,168,12
3,326,FILOSOFIA,0114F01,Presencial,1,2.0,165,10
3,327,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,1,5.0,359,30
3,328,GEOGRAFIA,0114G01,Presencial,1,1.0,330,27
3,20190,CIÊNCIAS BIOLÓGICAS,0511B01,Presencial,1,5.0,116,13
3,20762,ADMINISTRAÇÃO,0413A01,Presencial,1,2.0,601,50
3,20763,CIÊNCIAS SOCIAIS,0114C03,Presencial,0,0.0,29,12
3,20764,CIÊNCIAS ECONÔMICAS,0311E01,Presencial,0,0.0,400,19
3,20766,ENFERMAGEM,0114E05,Presencial,1,2.0,1,0
3,20767,FÍSICA,0533F01,Presencial,1,2.0,123,8
3,20768,FÍSICA,0114F02,Presencial,1,2.0,349,16
3,20782,QUÍMICA,0114Q01,Presencial,1,2.0,253,20
3,22046,ESTATÍSTICA,0542E01,Presencial,0,0.0,144,6
3,40149,ENGENHARIA DE ALIMENTOS,0721E01,Presencial,1,1.0,166,4
3,49512,FÍSICA MÉDICA,0533F03,Presencial,1,2.0,168,7
3,49673,ENGENHARIA FLORESTAL,0821E01,Presencial,1,2.0,180,15
3,52852,PSICOLOGIA,0313P01,Presencial,0,0.0,240,19
3,64064,SERVIÇO SOCIAL,0923S01,Presencial,1,3.0,337,41
3,80418,ENGENHARIA ELETRÔNICA,0714E08,Presencial,1,2.0,224,5
3,80419,ARTES VISUAIS,0114A02,Presencial,1,2.0,205,18
3,80420,JORNALISMO,0321J01,Presencial,1,2.0,201,17
3,80877,LETRAS - LÍNGUA PORTUGUESA,0115L13,Presencial,1,10.0,433,54
3,80885,LETRAS - ESPANHOL,0115L02,Presencial,1,10.0,182,21
3,80886,LETRAS - INGLÊS,0115L04,Presencial,1,1.0,210,25
3,80896,LETRAS - PORTUGUÊS E INGLÊS,0115L15,Presencial,1,1.0,207,23
3,80899,LETRAS - PORTUGUÊS E FRANCÊS,0115L14,Presencial,1,1.0,202,14
3,94033,ZOOTECNIA,0811Z01,Presencial,1,1.0,192,17
3,95017,SISTEMAS DE INFORMAÇÃO,0615S02,Presencial,1,3.0,212,9
3,95033,ADMINISTRAÇÃO,0413A01,Presencial,1,2.0,310,23
3,95037,CIÊNCIAS BIOLÓGICAS,0114B01,Presencial,1,2.0,202,32
3,95044,CIÊNCIAS CONTÁBEIS,0411C01,Presencial,0,0.0,267,29
3,95050,FÍSICA,0114F02,Presencial,1,3.0,168,4
3,95051,GEOGRAFIA,0114G01,Presencial,1,1.0,188,24
3,95053,LETRAS - LÍNGUA PORTUGUESA,0115L13,Presencial,0,0.0,226,23
3,95055,MATEMÁTICA,0114M01,Presencial,1,3.0,185,15
3,95057,PEDAGOGIA,0113P01,Presencial,1,3.0,234,22
3,95059,QUÍMICA,0114Q01,Presencial,1,3.0,154,8
3,98609,FARMÁCIA,0916F01,Presencial,1,4.0,389,36
3,99400,ENGENHARIA MECÂNICA,0715E02,Presencial,1,4.0,246,18
3,99402,ENGENHARIA DE MATERIAIS,0722E01,Presencial,1,10.0,170,18
3,99404,NUTRIÇÃO,0915N01,Presencial,0,0.0,196,28
3,99406,SISTEMAS DE INFORMAÇÃO,0615S02,Presencial,1,4.0,212,6
3,99408,GEOLOGIA,0532G02,Presencial,1,3.0,201,23
3,99409,ENGENHARIA DE PESCA,0831E01,Presencial,1,3.0,152,9
3,99411,FISIOTERAPIA,0915F01,Presencial,1,4.0,224,36
3,99413,FONOAUDIOLOGIA,0915F02,Presencial,1,5.0,202,31
3,99416,ENGENHARIA DE PRODUÇÃO,0725E02,Presencial,1,2.0,247,20
3,99418,SECRETARIADO EXECUTIVO,0415S01,Presencial,1,2.0,194,22
3,99420,TURISMO,1015T01,Presencial,1,6.0,163,14
3,99423,EDUCAÇÃO FÍSICA,0915E01,Presencial,1,7.0,180,13
3,99425,MÚSICA,0114M02,Presencial,1,2.0,161,15
3,99426,LETRAS - PORTUGUÊS E ESPANHOL,0115L12,Presencial,1,10.0,179,21
3,99444,ARQUITETURA E URBANISMO,0731A02,Presencial,1,1.0,273,30
3,99446,DANÇA,0114D01,Presencial,1,2.0,175,24
3,99450,MUSEOLOGIA,0322M01,Presencial,1,3.0,104,15
3,99452,ARQUEOLOGIA,0222A01,Presencial,0,0.0,171,26
3,101666,EDUCAÇÃO FÍSICA,0114E03,Presencial,1,6.0,191,24
3,106402,FÍSICA,0114F02,A distância,1,1.0,20,2
3,106404,MATEMÁTICA,0114M01,A distância,1,1.0,52,8
3,106408,QUÍMICA,0114Q01,A distância,1,1.0,35,3
3,106411,CIÊNCIAS BIOLÓGICAS,0114B01,A distância,1,1.0,156,11
3,106416,GEOGRAFIA,0114G01,A distância,1,1.0,226,36
3,106418,HISTÓRIA,0114H01,A distância,1,1.0,299,36
3,106421,LETRAS - LÍNGUA PORTUGUESA,0115L13,A distância,1,1.0,271,40
